Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_2-PL0_60-n_5-wallLoss_3,3.74,2.14,10.40,58.67,0
training-synth--stdDev_2-PL0_60-n_5-wallLoss_5,3.77,2.08,8.12,52.87,0
training-synth--stdDev_2-PL0_60-n_5-wallLoss_7,4.09,2.31,7.44,47.78,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_2,4.05,2.24,7.10,43.55,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_3,4.05,2.29,7.95,45.77,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_5,4.06,2.14,6.17,46.57,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_7,4.06,2.10,5.94,45.54,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_2,6.06,3.70,5.83,57.37,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_3,5.39,3.24,6.34,64.12,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_5,4.01,2.51,10.62,80.95,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_7,3.52,2.20,13.38,88.42,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_2,3.44,2.18,12.28,80.50,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_3,3.26,2.06,13.95,83.48,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_5,3.12,1.99,15.48,82.67,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_7,3.12,2.03,16.04,79.56,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_2,3.30,2.06,12.53,69.36,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_3,3.30,2.09,14.45,70.74,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_5,3.36,2.13,15.06,67.52,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_7,3.47,2.12,13.24,66.42,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_2,3.14,2.06,14.31,83.72,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_3,2.95,1.92,15.71,86.44,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_5,2.91,1.94,17.72,85.55,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_7,3.08,2.01,16.86,78.36,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_2,3.27,2.07,14.44,68.21,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_3,3.32,2.08,14.14,69.23,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_5,3.41,2.12,14.37,65.56,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_7,3.48,2.09,12.85,66.93,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_2,3.67,2.04,10.04,59.38,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_3,3.66,2.02,9.17,62.24,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_5,3.72,2.10,10.39,55.79,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_7,3.85,2.12,7.99,53.21,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_2,3.26,1.99,13.25,71.47,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_3,3.27,2.00,13.29,73.22,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_5,3.43,2.10,13.50,69.80,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_7,3.58,2.16,12.51,65.09,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_2,3.58,2.00,10.15,66.02,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_3,3.78,2.11,9.47,57.44,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_5,3.85,2.09,7.53,52.18,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_7,3.91,2.13,7.14,52.51,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_2,4.14,2.25,6.73,43.13,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_3,4.07,2.27,8.23,46.38,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_5,4.04,2.20,6.84,45.47,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_7,4.07,2.16,5.84,47.97,0
