Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_2-PL0_60-n_5-wallLoss_3,3.06,1.65,12.93,76.56,0
training-synth--stdDev_2-PL0_60-n_5-wallLoss_5,3.02,1.65,13.98,78.34,0
training-synth--stdDev_2-PL0_60-n_5-wallLoss_7,2.98,1.65,14.54,79.91,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_2,3.20,1.82,13.81,71.09,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_3,3.16,1.80,13.49,71.32,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_5,3.16,1.80,13.29,70.98,0
training-synth--stdDev_2-PL0_60-n_6-wallLoss_7,3.15,1.80,13.34,71.33,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_2,4.13,1.98,5.79,49.16,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_3,3.56,1.81,8.03,59.58,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_5,3.02,1.62,11.63,74.41,0
training-synth--stdDev_3-PL0_40-n_4-wallLoss_7,2.82,1.53,13.14,79.57,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_2,2.94,1.61,13.33,79.90,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_3,2.88,1.59,14.00,81.28,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_5,2.78,1.55,15.10,83.04,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_7,2.74,1.54,15.18,84.18,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_2,2.90,1.64,15.00,82.94,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_3,2.88,1.63,14.76,83.17,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_5,2.87,1.64,14.76,83.95,0
training-synth--stdDev_3-PL0_40-n_6-wallLoss_7,2.87,1.64,14.96,83.68,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_2,2.82,1.54,13.94,81.94,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_3,2.75,1.51,14.22,82.98,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_5,2.69,1.49,15.14,83.98,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_7,2.66,1.47,15.52,84.99,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_2,2.84,1.57,15.07,83.48,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_3,2.83,1.55,14.62,83.73,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_5,2.82,1.54,14.04,84.55,0
training-synth--stdDev_3-PL0_50-n_5-wallLoss_7,2.83,1.54,13.76,83.61,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_2,3.02,1.67,13.83,78.47,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_3,3.01,1.67,13.88,78.63,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_5,2.98,1.66,14.94,80.81,0
training-synth--stdDev_3-PL0_50-n_6-wallLoss_7,2.96,1.68,15.67,81.30,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_2,2.85,1.57,14.97,82.58,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_3,2.84,1.54,14.68,82.69,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_5,2.85,1.51,12.80,81.03,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_7,2.86,1.51,13.26,80.85,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_2,3.09,1.66,12.11,74.98,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_3,3.06,1.65,12.67,76.11,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_5,3.01,1.64,13.90,78.14,0
training-synth--stdDev_3-PL0_60-n_5-wallLoss_7,2.98,1.65,14.60,80.14,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_2,3.19,1.82,13.98,71.17,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_3,3.17,1.81,13.68,71.30,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_5,3.15,1.80,13.55,71.07,0
training-synth--stdDev_3-PL0_60-n_6-wallLoss_7,3.15,1.80,13.48,70.65,0
