Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_2-PL0_60-n_5-wallLoss_3,2.53,1.29,14.37,87.66,75
training-synth--stdDev_2-PL0_60-n_5-wallLoss_5,2.52,1.27,14.20,87.19,107
training-synth--stdDev_2-PL0_60-n_5-wallLoss_7,2.55,1.29,14.59,86.90,167
training-synth--stdDev_2-PL0_60-n_6-wallLoss_2,2.77,1.42,11.55,83.78,263
training-synth--stdDev_2-PL0_60-n_6-wallLoss_3,2.78,1.45,11.62,82.94,314
training-synth--stdDev_2-PL0_60-n_6-wallLoss_5,2.80,1.46,11.64,81.51,365
training-synth--stdDev_2-PL0_60-n_6-wallLoss_7,2.79,1.45,11.38,81.23,582
training-synth--stdDev_3-PL0_40-n_4-wallLoss_2,2.74,1.35,11.00,77.02,2
training-synth--stdDev_3-PL0_40-n_4-wallLoss_3,2.68,1.32,11.50,77.76,2
training-synth--stdDev_3-PL0_40-n_4-wallLoss_5,2.55,1.24,13.02,80.80,1
training-synth--stdDev_3-PL0_40-n_4-wallLoss_7,2.46,1.17,13.89,84.29,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_2,2.47,1.20,13.88,83.37,1
training-synth--stdDev_3-PL0_40-n_5-wallLoss_3,2.44,1.19,14.56,84.86,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_5,2.41,1.17,15.44,86.81,0
training-synth--stdDev_3-PL0_40-n_5-wallLoss_7,2.40,1.16,15.78,87.51,1
training-synth--stdDev_3-PL0_40-n_6-wallLoss_2,2.42,1.22,16.22,88.96,2
training-synth--stdDev_3-PL0_40-n_6-wallLoss_3,2.41,1.21,16.18,89.42,3
training-synth--stdDev_3-PL0_40-n_6-wallLoss_5,2.42,1.22,16.03,89.10,9
training-synth--stdDev_3-PL0_40-n_6-wallLoss_7,2.44,1.23,15.58,88.42,18
training-synth--stdDev_3-PL0_50-n_4-wallLoss_2,2.52,1.24,13.39,81.81,1
training-synth--stdDev_3-PL0_50-n_4-wallLoss_3,2.47,1.20,14.16,83.43,1
training-synth--stdDev_3-PL0_50-n_4-wallLoss_5,2.42,1.17,15.47,86.25,0
training-synth--stdDev_3-PL0_50-n_4-wallLoss_7,2.40,1.15,15.61,86.71,1
training-synth--stdDev_3-PL0_50-n_5-wallLoss_2,2.41,1.21,16.15,88.56,2
training-synth--stdDev_3-PL0_50-n_5-wallLoss_3,2.41,1.21,16.31,89.32,2
training-synth--stdDev_3-PL0_50-n_5-wallLoss_5,2.42,1.21,15.96,88.88,7
training-synth--stdDev_3-PL0_50-n_5-wallLoss_7,2.44,1.22,15.78,88.40,23
training-synth--stdDev_3-PL0_50-n_6-wallLoss_2,2.51,1.29,14.89,88.76,38
training-synth--stdDev_3-PL0_50-n_6-wallLoss_3,2.51,1.28,14.72,88.28,43
training-synth--stdDev_3-PL0_50-n_6-wallLoss_5,2.51,1.27,14.54,87.65,74
training-synth--stdDev_3-PL0_50-n_6-wallLoss_7,2.51,1.26,14.72,87.50,105
training-synth--stdDev_3-PL0_60-n_4-wallLoss_2,2.41,1.20,16.33,88.06,0
training-synth--stdDev_3-PL0_60-n_4-wallLoss_3,2.40,1.19,16.17,88.95,2
training-synth--stdDev_3-PL0_60-n_4-wallLoss_5,2.41,1.20,15.82,88.37,6
training-synth--stdDev_3-PL0_60-n_4-wallLoss_7,2.44,1.21,15.52,87.82,27
training-synth--stdDev_3-PL0_60-n_5-wallLoss_2,2.51,1.29,14.69,88.60,42
training-synth--stdDev_3-PL0_60-n_5-wallLoss_3,2.51,1.28,14.59,88.03,62
training-synth--stdDev_3-PL0_60-n_5-wallLoss_5,2.51,1.26,14.62,87.57,99
training-synth--stdDev_3-PL0_60-n_5-wallLoss_7,2.52,1.28,14.76,87.10,143
training-synth--stdDev_3-PL0_60-n_6-wallLoss_2,2.75,1.42,11.81,83.79,259
training-synth--stdDev_3-PL0_60-n_6-wallLoss_3,2.75,1.41,11.68,83.76,293
training-synth--stdDev_3-PL0_60-n_6-wallLoss_5,2.76,1.43,11.92,82.16,366
training-synth--stdDev_3-PL0_60-n_6-wallLoss_7,2.76,1.43,11.44,82.09,500
