[1] AVG error: 2.50, STD error: 0.11
[8] AVG error: 2.45, STD error: 0.04
[16] AVG error: 2.43, STD error: 0.03
[24] AVG error: 2.43, STD error: 0.03
[31] AVG error: 2.43, STD error: 0.04
[39] AVG error: 2.43, STD error: 0.03
[47] AVG error: 2.42, STD error: 0.02
[55] AVG error: 2.42, STD error: 0.03
[62] AVG error: 2.41, STD error: 0.01
[70] AVG error: 2.41, STD error: 0.01
[78] AVG error: 2.41, STD error: 0.01
[86] AVG error: 2.41, STD error: 0.01
[93] AVG error: 2.41, STD error: 0.01
[101] AVG error: 2.41, STD error: 0.01
[109] AVG error: 2.41, STD error: 0.01
[117] AVG error: 2.41, STD error: 0.01
[124] AVG error: 2.41, STD error: 0.01
[132] AVG error: 2.41, STD error: 0.01
[140] AVG error: 2.41, STD error: 0.01
[148] AVG error: 2.41, STD error: 0.01
